DATE,CBBTCUSD,SP500,VIXCLS
06/05/2018,9600,2718.37,16.09
07/05/2018,9356.25,2726.71,15.6
08/05/2018,9177.81,2713.22,16.14
09/05/2018,9300.08,.,.
10/05/2018,9010.51,2736.61,14.97
11/05/2018,8403.33,2759.82,13.37
12/05/2018,8475,2784.17,12.69
13/05/2018,8686.1,2793.84,12.64
14/05/2018,8670,2774.02,13.63
15/05/2018,8477.46,2798.29,12.58
16/05/2018,8344,2801.31,12.18
17/05/2018,8059,2798.43,12.83
18/05/2018,8238.51,2809.55,12.06
19/05/2018,8235.6,2815.62,12.1
20/05/2018,8516.86,2804.49,12.87
21/05/2018,8393.44,2801.83,12.86
22/05/2018,7987.7,2806.98,12.62
23/05/2018,7505,2820.4,12.41
24/05/2018,7584.15,2846.07,12.29
25/05/2018,7459.11,2837.44,12.14
26/05/2018,7337.95,2818.82,13.03
27/05/2018,7346.64,2802.6,14.26
28/05/2018,7107.94,2816.29,12.83
29/05/2018,7460,2813.36,13.15
30/05/2018,7380.01,2827.22,12.19
31/05/2018,7485,2840.35,11.64
01/06/2018,7514.32,2850.4,11.27
02/06/2018,7636.42,2858.45,10.93
03/06/2018,7706.37,2857.7,10.85
04/06/2018,7487.37,2853.58,11.27
05/06/2018,7612.51,2833.28,13.16
06/06/2018,7655,2821.93,14.78
07/06/2018,7684.93,2839.96,13.31
08/06/2018,7618.83,2818.37,14.64
09/06/2018,7496.4,2840.69,13.45
10/06/2018,6770.31,2850.13,12.64
11/06/2018,6881,2857.05,12.49
12/06/2018,6544.99,2862.96,12.86
13/06/2018,6302.32,2861.82,12.25
14/06/2018,6638.49,2856.98,12.41
15/06/2018,6391.22,2874.69,11.99
16/06/2018,6484.29,2896.74,12.16
17/06/2018,6447.16,2897.52,12.5
18/06/2018,6709.02,2914.04,12.25
19/06/2018,6736.41,2901.13,13.53
20/06/2018,6756.1,2901.52,12.86
21/06/2018,6719.01,.,.
22/06/2018,6059.82,2896.72,13.16
23/06/2018,6178.29,2888.6,13.91
24/06/2018,6149.99,2878.05,14.65
25/06/2018,6246.01,2871.68,14.88
26/06/2018,6074,2877.13,14.16
27/06/2018,6132.17,2887.89,13.22
28/06/2018,5851.66,2888.92,13.14
29/06/2018,6202.36,2904.18,12.37
30/06/2018,6383.19,2904.98,12.07
01/07/2018,6349.5,2888.8,13.68
02/07/2018,6611.79,2904.31,12.79
03/07/2018,6502.62,2907.95,11.75
04/07/2018,6587.47,2930.75,11.8
05/07/2018,6532.95,2929.67,11.68
06/07/2018,6600,2919.37,12.2
07/07/2018,6753.28,2915.56,12.42
08/07/2018,6701.97,2905.97,12.89
09/07/2018,6664.01,2914,12.41
10/07/2018,6303.7,2913.98,12.12
11/07/2018,6390.04,2924.59,12
12/07/2018,6249.75,2923.43,12.05
13/07/2018,6216.29,2925.51,11.61
14/07/2018,6248.65,2901.61,14.22
15/07/2018,6348.73,2885.57,14.82
16/07/2018,6728.81,2884.43,15.69
17/07/2018,7315.01,2880.34,15.95
18/07/2018,7378.99,2785.68,22.96
19/07/2018,7470.01,2728.37,24.98
20/07/2018,7334.46,2767.13,21.31
21/07/2018,7408,2750.79,21.3
22/07/2018,7397.8,2809.92,17.62
23/07/2018,7720.09,2809.21,17.4
24/07/2018,8385.5,2768.78,20.06
25/07/2018,8157.15,2767.78,19.89
26/07/2018,7931.99,2755.88,19.64
27/07/2018,8184.21,2740.69,20.71
28/07/2018,8228.9,2656.1,25.23
29/07/2018,8216.34,2705.57,24.22
30/07/2018,8170.01,2658.69,24.16
31/07/2018,7727.27,2641.25,24.7
01/08/2018,7603.99,2682.63,23.35
02/08/2018,7533.92,2711.74,21.23
