DATE,RRPONTSYD
2022-08-01,2161.885
2022-08-02,2156.013
2022-08-03,2182.238
2022-08-04,2191.546
2022-08-05,2194.927
2022-08-08,2195.692
2022-08-09,2186.568
2022-08-10,2177.646
2022-08-11,2199.247
2022-08-12,2213.193
2022-08-15,2175.857
2022-08-16,2165.332
2022-08-17,2199.631
2022-08-18,2218.161
2022-08-19,2221.68
2022-08-22,2235.665
2022-08-23,2250.718
2022-08-24,2237.072
2022-08-25,2187.907
2022-08-26,2182.452
2022-08-29,2205.188
2022-08-30,2188.975
2022-08-31,2251.025
2022-09-01,2173.156
2022-09-02,2173.413
2022-09-05,.
2022-09-06,2188.796
2022-09-07,2206.987
2022-09-08,2210.466
2022-09-09,2209.714
2022-09-12,2218.546
2022-09-13,2202.719
2022-09-14,2225.579
2022-09-15,2176.188
2022-09-16,2186.833
2022-09-19,2217.542
2022-09-20,2238.87
2022-09-21,2315.9
2022-09-22,2359.227
2022-09-23,2319.361
2022-09-26,2299.011
2022-09-27,2327.111
2022-09-28,2366.798
2022-09-29,2371.763
2022-09-30,2425.91
2022-10-03,2252.523
2022-10-04,2233.616
2022-10-05,2230.799
2022-10-06,2232.801
2022-10-07,2226.95
2022-10-10,.
2022-10-11,2222.479
2022-10-12,2247.206
2022-10-13,2244.1
2022-10-14,2222.052
2022-10-17,2172.301
2022-10-18,2226.725
2022-10-19,2241.835
2022-10-20,2234.071
2022-10-21,2265.809
2022-10-24,2242.044
2022-10-25,2195.616
2022-10-26,2186.856
2022-10-27,2152.485
2022-10-28,2183.29
2022-10-31,2275.459
2022-11-01,2200.51
2022-11-02,2229.861
2022-11-03,2219.791
2022-11-04,2230.84
2022-11-07,2241.317
2022-11-08,2232.555
2022-11-09,2237.812
2022-11-10,2200.586
2022-11-11,.
2022-11-14,2165.018
2022-11-15,2086.574
2022-11-16,2099.07
2022-11-17,2114.439
2022-11-18,2113.413
2022-11-21,2125.426
2022-11-22,2103.932
2022-11-23,2069.174
2022-11-24,.
2022-11-25,2031.066
2022-11-28,2054.914
