,TGA,BalanceSheet,RR,SPX,Date,Total Assets(B),TGA(B),RR(B),NetLiquidity,SPX,SPX(lag)
29/07/2020,1792434,6949032,0.001,3258.44,,,,,,,
05/08/2020,1706637,6945237,0,3327.77,,,,,,,
12/08/2020,1635143,6957277,0.103,3380.35,,,,,,,
19/08/2020,1636393,7010637,0.112,3374.85,,,,,,,
26/08/2020,1607449,6990418,0.009,3478.73,,,,,,,
02/09/2020,1651823,7017492,0.014,3580.84,,,,,,,
09/09/2020,1570533,7010614,0.001,3398.96,,,,,,,
16/09/2020,1692809,7064475,0.055,3385.49,,,,,,,
23/09/2020,1661732,7093161,0.001,3236.92,,,,,,,
30/09/2020,1781679,7056129,0.85,3363,,,,,,,
07/10/2020,1687434,7074649,0.011,3419.45,,,,,,,
14/10/2020,1647937,7151426,0,3488.67,,,,,,,
21/10/2020,1699497,7177265,0,3435.56,,,,,,,
28/10/2020,1653039,7146306,0.005,3271.03,,,,,,,
04/11/2020,1618568,7157479,0,3443.44,,,,,,,
11/11/2020,1570768,7175417,,3572.66,,,,,,,
18/11/2020,1546924,7243080,0,3567.79,,,,,,,
25/11/2020,1484036,7216480,0,3629.65,,,,,,,
02/12/2020,1557239,7222414,0.001,3669.01,,,,,,,
09/12/2020,1502361,7242658,0.003,3672.82,,,,,,,
16/12/2020,1615873,7362592,0.026,3701.17,,,,,,,
23/12/2020,1583308,7404039,0.857,3690.01,,,,,,,
30/12/2020,1613514,7363351,0.652,3732.04,,,,,,,
06/01/2021,1607396,7334809,0.004,3748.14,,,,,,,
13/01/2021,1575875,7333968,0,3809.84,,,,,,,
20/01/2021,1638331,7414942,1.806,3851.85,,,,,,,
27/01/2021,1613377,7404926,1.152,3750.77,,,,,,,
03/02/2021,1629729,7410598,0.178,3830.17,,,,,,,
10/02/2021,1576744,7442225,0,3909.88,,,,,,,
17/02/2021,1568893,7557402,0.05,3931.33,,,,,,,
24/02/2021,1439646,7590111,0.001,3925.43,,,,,,,
03/03/2021,1420238,7557524,0.507,3819.72,,,,,,,
10/03/2021,1310273,7579901,0.1,3898.81,,,,,,,
17/03/2021,1089501,7693506,0,3974.12,,,,,,,
24/03/2021,1031908,7719622,21.902,3889.14,,,,,,,
31/03/2021,1121951,7688988,134.307,3972.89,,,,,,,
07/04/2021,954968,7708882,35.035,4079.95,,,,,,,
14/04/2021,921685,7793104,50.856,4124.66,,,,,,,
21/04/2021,1003443,7820948,81.329,4173.42,,,,,,,
28/04/2021,932287,7780962,166.732,4183.18,,,,,,,
05/05/2021,946134,7810486,162.8,4167.59,,,,,,,
12/05/2021,864253,7830663,209.257,4063.04,,,,,,,
19/05/2021,860833,7922883,293.998,4115.68,,,,,,,
26/05/2021,778912,7903541,450.283,4195.99,,,,,,,
02/06/2021,812087,7935703,438.778,4208.12,,,,,,,
09/06/2021,673555,7952327,502.904,4219.55,,,,,,,
16/06/2021,765114,8064257,520.942,4223.7,,,,,,,
23/06/2021,733877,8101945,813.65,4241.84,,,,,,,
30/06/2021,851929,8078544,991.939,4297.5,,,,,,,
07/07/2021,724898,8097773,785.72,4358.13,,,,,,,
14/07/2021,657542,8201651,859.975,4374.3,,,,,,,
21/07/2021,616294,8240530,886.206,4358.69,,,,,,,
28/07/2021,536966,8221473,965.189,4400.64,,,,,,,
04/08/2021,505871,8235073,931.755,4402.66,,,,,,,
11/08/2021,389747,8257159,1000.46,4447.7,,,,,,,
18/08/2021,313651,8342598,1115.656,4400.27,,,,,,,
25/08/2021,258200,8332743,1147.089,4496.19,,,,,,,
01/09/2021,296934,8349173,1084.115,4524.09,,,,,,,
08/09/2021,200702,8357314,1115.229,4514.07,,,,,,,
15/09/2021,344668,8448770,1081.342,4480.7,,,,,,,
22/09/2021,272679,8489824,1283.281,4395.64,,,,,,,
29/09/2021,173745,8447981,1415.84,4359.46,,,,,,,
06/10/2021,95854,8464032,1451.175,4363.55,,,,,,,
13/10/2021,72460,8480942,1364.701,4363.8,,,,,,,
20/10/2021,117364,8564943,1493.961,4536.19,,,,,,,
27/10/2021,236495,8556181,1433.37,4551.68,,,,,,,
03/11/2021,286959,8574871,1343.985,4660.57,,,,,,,
10/11/2021,231421,8663117,1448.623,4646.71,,,,,,,
17/11/2021,178972,8674970,1520,4688.67,,,,,,,
24/11/2021,141042,8681771,1452.897,4701.46,,,,,,,
01/12/2021,159148,8650402,1427.347,4513.04,,,,,,,
08/12/2021,125144,8664524,1484.192,4701.21,,,,,,,
15/12/2021,58294,8756666,1621.097,4709.85,,,,,,,
22/12/2021,197516,8790495,1699.277,4696.56,,,,,,,
29/12/2021,283995,8757460,1642.506,4793.06,,,,,,,
05/01/2022,434757,8765721,1492.787,4700.58,,,,,,,
12/01/2022,489679,8788278,1536.981,4726.35,,,,,,,
19/01/2022,580171,8867834,1656.576,4532.76,,,,,,,
26/01/2022,639620,8860485,1613.046,4349.93,,,,,,,
02/02/2022,710267,8873211,1626.895,4589.38,,,,,,,
09/02/2022,679019,8878009,1653.153,4587.18,,,,,,,
16/02/2022,709261,8911033,1644.134,4475.01,,,,,,,
23/02/2022,674797,8928129,1738.322,4225.5,,,,,,,
02/03/2022,685491,8904455,1526.211,4386.54,,,,,,,
09/03/2022,609369,8910748,1542.504,4277.88,,,,,,,
16/03/2022,621527,8954306,1613.637,4357.86,,,,,,,
23/03/2022,576442,8962474,1803.186,4456.24,,,,,,,
30/03/2022,556791,8937142,1785.939,4602.45,,,,,,,
06/04/2022,545584,8937592,1731.472,4481.15,,,,,,,
13/04/2022,543536,8965487,1815.555,4446.59,,,,,,,
20/04/2022,907526,8955851,1866.56,4459.45,,,,,,,
27/04/2022,957419,8939199,1803.162,4183.96,,,,,,,
04/05/2022,964412,8939972,1815.656,4300.17,,,,,,,
11/05/2022,919331,8942008,1876.119,3935.18,,,,,,,
18/05/2022,866726,8945898,1973.373,3923.68,,,,,,,
25/05/2022,801714,8914281,1995.75,3978.73,,,,,,,
01/06/2022,780575,8915050,1965.015,4101.23,,,,,,,
08/06/2022,683892,8918254,2140.277,4115.77,,,,,,,
15/06/2022,769937,8932420,2162.924,3789.99,,,,,,,
22/06/2022,745052,8934346,2259.458,3759.89,,,,,,,
29/06/2022,759845,8913553,2226.976,3818.83,,,,,,,
06/07/2022,687943,8891851,2168.026,3845.08,,,,,,,
13/07/2022,618740,8895867,2155.29,3801.78,,,,,,,
20/07/2022,616348,8899213,2240.204,3959.9,,,,,,,
27/07/2022,615515,8890004,2188.994,4023.61,,,,,,,
03/08/2022,566577,8874620,2182.238,4155.17,,,,,,,
10/08/2022,561140,8879138,2177.646,4210.24,,,,,,,
17/08/2022,539278,8849762,2199.631,4274.04,,,,,,,
24/08/2022,530196,8851436,2237.072,4140.77,,,,,,,
31/08/2022,669911,8826093,2251.025,3955,,,,,,,
07/09/2022,582921,8822401,2206.987,3979.87,,,,,,,
14/09/2022,617997,8832759,2225.579,3946.01,,,,,,,
21/09/2022,690286,8816802,2315.9,3789.93,,,,,,,
28/09/2022,661920,8795567,2366.798,3719.04,,,,,,,
05/10/2022,622131,8759053,2230.799,3783.28,,,,,,,
12/10/2022,583513,8758969,2247.206,3577.03,,,,,,,
19/10/2022,640613,8743922,2241.835,3695.16,,,,,,,
26/10/2022,636327,8723090,2186.856,3830.6,,,,,,,
02/11/2022,552089,8676870,2229.861,3759.69,,,,,,,
09/11/2022,517340,8678886,2237.812,3748.57,,,,,,,
16/11/2022,472185,8625620,2099.07,3958.79,,,,,,,
23/11/2022,492754,8621390,2069.174,4027.26,,,,,,,
30/11/2022,532791,8584576,2115.913,4080.11,,,,,,,
07/12/2022,410853,8582735,2151.549,3933.92,,,,,,,
14/12/2022,342104,8583413,2192.864,3995.32,,,,,,,
21/12/2022,434922,8564411,2206.965,3878.44,,,,,,,
