date,close,open,high,low
12/21/2022,3878.44,3839.49,3889.82,3839.49
12/20/2022,3821.62,3810.47,3838.24,3795.62
12/19/2022,3817.66,3853.79,3854.86,3800.04
12/16/2022,3852.36,3890.91,3890.91,3827.91
12/15/2022,3895.75,3958.37,3958.37,3879.45
12/14/2022,3995.32,4015.54,4053.76,3965.65
12/13/2022,4019.65,4069.38,4100.96,3993.03
12/12/2022,3990.56,3939.29,3990.71,3935.3
12/09/2022,3934.38,3954.17,3977.02,3933.04
12/08/2022,3963.51,3947.79,3974.19,3935.83
12/07/2022,3933.92,3933.28,3957.57,3922.68
12/06/2022,3941.26,3996.63,4001.51,3918.39
12/05/2022,3998.84,4052.02,4052.45,3984.49
12/02/2022,4071.7,4040.17,4080.48,4026.63
12/01/2022,4076.57,4087.14,4100.51,4050.87
11/30/2022,4080.11,3957.18,4080.11,3938.58
11/29/2022,3957.63,3964.19,3976.77,3937.65
11/28/2022,3963.94,4005.36,4012.27,3955.77
11/25/2022,4026.12,4023.34,4034.02,4020.76
11/23/2022,4027.26,4000.3,4033.78,3998.66
11/22/2022,4003.58,3965.51,4005.88,3956.88
11/21/2022,3949.94,3956.23,3962,3933.34
11/18/2022,3965.34,3966.39,3979.89,3935.98
11/17/2022,3946.56,3919.26,3954.33,3906.54
11/16/2022,3958.79,3976.82,3983.09,3954.34
11/15/2022,3991.73,4006.41,4028.84,3953.17
11/14/2022,3957.25,3977.97,4008.97,3956.4
11/11/2022,3992.93,3963.72,4001.48,3944.82
11/10/2022,3956.37,3859.89,3958.33,3859.89
11/09/2022,3748.57,3810.94,3818.2,3744.22
11/08/2022,3828.11,3817.02,3859.4,3786.28
11/07/2022,3806.8,3780.71,3813.95,3764.7
11/04/2022,3770.55,3766.98,3796.34,3708.84
11/03/2022,3719.89,3733.25,3750.59,3698.15
11/02/2022,3759.69,3852.9,3894.44,3758.68
11/01/2022,3856.1,3901.79,3911.79,3843.8
10/31/2022,3871.98,3881.85,3893.73,3863.18
10/28/2022,3901.06,3808.26,3905.42,3808.26
10/27/2022,3807.3,3834.69,3859.95,3803.79
10/26/2022,3830.6,3825.97,3886.15,3824.07
10/25/2022,3859.11,3799.44,3862.85,3799.44
10/24/2022,3797.34,3762.01,3810.74,3741.65
10/21/2022,3752.75,3657.1,3757.89,3647.42
10/20/2022,3665.78,3689.05,3736,3656.44
10/19/2022,3695.16,3703.11,3728.58,3666.51
10/18/2022,3719.98,3746.26,3762.79,3686.53
10/17/2022,3677.95,3638.65,3689.73,3638.65
10/14/2022,3583.07,3690.41,3712,3579.68
10/13/2022,3669.91,3520.37,3685.41,3491.58
10/12/2022,3577.03,3590.83,3608.34,3573.86
10/11/2022,3588.84,3595.86,3640.66,3568.45
10/10/2022,3612.39,3647.51,3652.17,3588.1
10/07/2022,3639.66,3706.74,3706.74,3620.73
10/06/2022,3744.52,3771.97,3797.93,3739.22
10/05/2022,3783.28,3753.25,3806.91,3722.66
10/04/2022,3790.93,3726.46,3791.92,3726.46
10/03/2022,3678.43,3609.78,3698.35,3604.93
09/30/2022,3585.62,3633.48,3671.44,3584.13
09/29/2022,3640.47,3687.01,3687.01,3610.4
09/28/2022,3719.04,3651.94,3736.74,3640.61
09/27/2022,3647.29,3686.44,3717.53,3623.29
09/26/2022,3655.04,3682.72,3715.67,3644.76
09/23/2022,3693.23,3727.14,3727.14,3647.47
09/22/2022,3757.99,3782.36,3790.9,3749.45
09/21/2022,3789.93,3871.4,3907.07,3789.49
09/20/2022,3855.93,3875.23,3876.01,3827.54
09/19/2022,3899.89,3849.91,3900.45,3838.5
09/16/2022,3873.33,3880.95,3880.95,3837.08
09/15/2022,3901.35,3932.41,3959.14,3888.28
09/14/2022,3946.01,3940.73,3961.94,3912.18
09/13/2022,3932.69,4037.12,4037.12,3921.28
09/12/2022,4110.41,4083.67,4119.28,4083.67
09/09/2022,4067.36,4022.94,4076.81,4022.94
09/08/2022,4006.18,3959.94,4010.5,3944.81
09/07/2022,3979.87,3909.43,3987.89,3906.03
09/06/2022,3908.19,3930.89,3942.55,3886.75
09/02/2022,3924.26,3994.66,4018.43,3906.21
09/01/2022,3966.85,3936.73,3970.23,3903.65
08/31/2022,3955,4000.67,4015.37,3954.53
08/30/2022,3986.16,4041.25,4044.98,3965.21
08/29/2022,4030.61,4034.58,4062.99,4017.42
08/26/2022,4057.66,4198.74,4203.04,4057.66
08/25/2022,4199.12,4153.26,4200.54,4147.59
08/24/2022,4140.77,4126.55,4156.56,4119.97
08/23/2022,4128.73,4133.09,4159.77,4124.03
08/22/2022,4137.99,4195.08,4195.08,4129.86
08/19/2022,4228.48,4266.31,4266.31,4218.7
08/18/2022,4283.74,4273.13,4292.53,4261.98
08/17/2022,4274.04,4280.4,4302.18,4253.08
08/16/2022,4305.2,4290.46,4325.28,4277.77
08/15/2022,4297.14,4269.37,4301.79,4256.9
08/12/2022,4280.15,4225.02,4280.47,4219.78
08/11/2022,4207.27,4227.4,4257.91,4201.41
08/10/2022,4210.24,4181.02,4211.03,4177.26
08/09/2022,4122.47,4133.11,4137.3,4112.09
08/08/2022,4140.06,4155.93,4186.62,4128.97
08/05/2022,4145.19,4115.87,4151.58,4107.31
08/04/2022,4151.94,4154.85,4161.29,4135.42
08/03/2022,4155.17,4107.96,4167.66,4107.96
08/02/2022,4091.19,4104.21,4140.47,4079.81
08/01/2022,4118.63,4112.38,4144.95,4096.02
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
