Date,open,high,low,close,volume 
04/01/2010,109.8199997,110.1399994,109.3099976,109.8000031,16224100
05/01/2010,109.8799973,110.3899994,109.2600021,109.6999969,14213100
06/01/2010,110.7099991,111.7699966,110.4100037,111.5100021,24981900
07/01/2010,111.0699997,111.2900009,110.6200027,110.8199997,13609800
08/01/2010,111.5199966,111.5800018,110.2600021,111.3700027,15894600
11/01/2010,113.3399963,113.5899963,112.5199966,112.8499985,17253000
12/01/2010,112.3799973,113.0500031,110.1399994,110.4899979,29182600
13/01/2010,110.9199982,111.5699997,109.5699997,111.5400009,20014000
14/01/2010,111.5100021,112.3700027,110.7900009,112.0299988,18305300
15/01/2010,111.3499985,112.0100021,110.3799973,110.8600006,18002700
19/01/2010,110.9499969,111.75,110.8300018,111.5199966,10468200
20/01/2010,109.9700012,110.0500031,108.4599991,108.9400024,17535000
21/01/2010,108.4800034,108.7799988,106.6100006,107.3700027,25748400
22/01/2010,106.9300003,107.6800003,106.0100021,107.1699982,24210100
25/01/2010,107.4400024,107.7200012,107.0699997,107.4800034,13200500
26/01/2010,106.8700027,107.9899979,106.75,107.5599976,12297100
27/01/2010,107.5299988,108.8000031,106.1600037,106.5299988,19005100
28/01/2010,107.1800003,107.2300034,105.1800003,106.4800034,16793900
29/01/2010,105.8799973,106.3000031,105.2699966,105.9599991,20278800
01/02/2010,106.6399994,108.4800034,106.3700027,108.3499985,14901900
02/02/2010,109.1600037,109.5999985,108.6100006,109.1299973,14292200
03/02/2010,109.0999985,109.5400009,108.4300003,108.6999969,13393200
04/02/2010,106.7900009,106.8000031,103.75,104.3700027,39991900
05/02/2010,103.7600021,104.6800003,102.2799988,104.6800003,32656700
08/02/2010,104.4100037,105.1399994,104,104.0400009,17176600
09/02/2010,105.1800003,106.1500015,104.8700027,105.4100037,25959200
10/02/2010,105.1299973,105.5,104.1100006,105.1200027,16215200
11/02/2010,105.5800018,107.5599976,105.2699966,107.1299973,19350100
12/02/2010,106.0800018,107.0999985,105.5699997,107.0400009,14464200
16/02/2010,109.4499969,109.8700027,109.0999985,109.6200027,20895700
17/02/2010,109.6600037,110.0100021,108.8700027,109.25,19593400
18/02/2010,109.6100006,110.1100006,109.1900024,109.9800034,19177400
19/02/2010,109.3199997,110.3899994,108.8099976,109.4700012,21928700
22/02/2010,109.8600006,109.9700012,108.6600037,109.0699997,10742800
23/02/2010,108.8399963,108.9100037,107.6500015,107.8899994,13629600
24/02/2010,107.3300018,108.1600037,107.0999985,107.3600006,17207400
25/02/2010,106.6999969,108.6999969,106.5999985,108.3099976,23400400
26/02/2010,108.8899994,109.5999985,108.4100037,109.4300003,13033900
01/03/2010,109.4800034,109.9000015,108.9700012,109.4300003,12830900
02/03/2010,109.8600006,111.4499969,109.8600006,111.0199966,20102200
03/03/2010,111.4599991,112.1800003,111.1800003,111.6299973,16222100
04/03/2010,111.25,111.3700027,110.2200012,110.8300018,12944800
